,Year,State,Subject,Grade,StudentsEnrolled,TotalFunding,FederalFunding,StateFunding,LocalFunding,TotalExpenditure,DollarsPerStudent,Abbreviation,AvgTeacherSalary,SurplusDeficit,PredictedAvgScore18_19
19,2019,Maine,Mathematics,8,182496,2810411,135679,1051815,1622917,3299018,15.4,ME,54974,-488607,291.0934314555775
20,2019,Maryland,Mathematics,8,896845,16030650,1022139,6512630,8495881,14581204,17.87,MD,70463,1449446,289.5504627055775
21,2019,Massachusetts,Mathematics,8,953315,18509641,828225,7187458,10493958,19348510,19.42,MA,82042,-838869,301.4645252055775
22,2019,Michigan,Mathematics,8,1437694,18413679,1150452,11764577,5498650,17746527,12.81,MI,61825,667152,280.2555408305775
23,2019,Minnesota,Mathematics,8,861265,13916240,540579,9736178,3639483,13420422,16.16,MN,58221,495818,293.1696033305775
24,2019,Mississippi,Mathematics,8,476082,4753948,640358,2440749,1672841,4493552,9.99,MS,45574,260396,270.18132208057744
25,2019,Missouri,Mathematics,8,880267,11817855,974476,3949071,6894308,11669730,13.43,MO,50064,148125,285.3063220805775
26,2019,Montana,Mathematics,8,147816,1914825,206413,926236,782176,1799147,12.95,MT,54034,115678,293.3619861430775
27,2019,Nebraska,Mathematics,8,325984,4067877,208406,1570234,2289238,4262380,12.48,NE,54506,-194503,-581820.4651622943
28,2019,Nevada,Mathematics,8,487018,5038698,400131,1889716,2748850,6814623,10.35,NV,54280,-1775925,582385.6246814557
29,2019,New Hampshire,Mathematics,8,173479,3279477,182558,1097379,1999540,3199462,18.9,NH,58146,80015,293.6998767680775
30,2019,New Jersey,Mathematics,8,1373720,30526974,1195843,12656639,16674493,29933412,22.22,NJ,70212,593562,-581816.6897716693
31,2019,New Mexico,Mathematics,8,329439,4122138,600512,2782733,738893,4261505,12.51,NM,47826,-139367,271.72233770557744
32,2019,New York,Mathematics,8,2464693,65901319,2417504,24022979,39460836,74907332,26.74,NY,85889,-9006013,285.4674548930775
33,2019,North Carolina,Mathematics,8,1421763,16062711,1492758,9053684,5516269,15314239,11.3,NC,53975,748472,284.6207752055775
34,2019,North Dakota,Mathematics,8,110842,1995138,107968,1189877,697293,1873485,18.0,ND,53434,121653,293.8776111430775
35,2019,Ohio,Mathematics,8,1795686,23568934,1628445,9763420,12177068,24081681,13.13,OH,57799,-512747,582397.3375720807
36,2019,Oklahoma,Mathematics,8,698586,6327874,639618,2869043,2819213,6757714,9.06,OK,52412,-429840,281.1783923930775
37,2019,Oregon,Mathematics,8,582501,8613403,550000,4399843,3663560,8561053,14.79,OR,64385,52350,287.9381580180775
38,2019,Pennsylvania,Mathematics,8,1712553,31377861,1504208,12057505,17816149,35512933,18.32,PA,68141,-4135072,-581821.1160412006
39,2019,Rhode Island,Mathematics,8,141368,2432696,143782,999788,1289126,2561383,17.21,RI,67040,-128687,282.3439197368275
40,2019,South Carolina,Mathematics,8,781389,9912720,798613,4824834,4289273,10791773,12.69,SC,50395,-879053,280.7526111430775
41,2019,South Dakota,Mathematics,8,134993,1697843,221782,588535,887526,1673481,12.58,SD,48786,24362,292.6593494243275
42,2019,Tennessee,Mathematics,8,1001818,10168244,1047465,4679102,4441677,9970195,10.15,TN,51714,198049,279.17302129932744
43,2019,Texas,Mathematics,8,5447605,62831053,5583480,23655357,33592216,68752723,11.53,TX,54155,-5921670,287.9982166118275
44,2019,Utah,Mathematics,8,659909,5900642,490832,2962698,2447112,5976562,8.94,UT,50342,-75920,286.9386462993275
45,2019,Vermont,Mathematics,8,87131,1829699,108232,1645618,75849,1607204,21.0,VT,61027,222495,295.9054431743275
46,2019,Virginia,Mathematics,8,1279363,17434687,1162000,6753590,9519097,17800529,13.63,VA,52466,-365842,288.3336658305775
47,2019,Washington,Mathematics,8,1092198,19173293,1092915,13363343,4717035,21272111,17.55,WA,72965,-2098818,294.224657041515
48,2019,West Virginia,Mathematics,8,265755,3837351,423367,2174625,1239359,3653223,14.44,WV,47681,184128,275.26188848682744
